----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-short.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-2019-2020-short.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-short.csv | 390.70818495 | 1831.04209091 | 3458 | 14584 | 15601 | 7416 | 0 | 4474 | bnb: **2941** ; srd: **1** ; Total: **2942** | 0.00010733 | 9.99263885 | 0.228665386842 | 0.526668597077 | 0.65732380 | 0.0000886358953614 | -0.00235144000 | 0.65497236000 | 1 | 82 | 2.10369471413 | 2.35733196515 | blackjack: **710** ; srd: **3765** ; bnb: **2941** |
| bustabit-2019-2020-short.csv | 397.97574259 | 1867.52746667 | 3512 | 14898 | 15955 | 7602 | 0 | 4568 | bnb: **3033** ; srd: **1** ; Total: **3034** | 0.00010733 | 9.99263885 | 0.225809574523 | 0.522105670096 | 0.66973952 | 0.0000881004367272 | -0.00238816000 | 0.66735136000 | 1 | 82 | 2.09878979216 | 2.33506892492 | blackjack: **724** ; srd: **3845** ; bnb: **3033** |
| bustabit-2019-2020-short.csv | 404.64194957 | 1905.31082609 | 3636 | 15270 | 16250 | 7730 | 0 | 4615 | bnb: **3114** ; srd: **1** ; Total: **3115** | 0.00010733 | 9.99263885 | 0.225086567460 | 0.520149581551 | 0.67849771 | 0.0000877746067270 | -0.00247248000 | 0.67602523000 | 1 | 82 | 2.10219922380 | 2.32709108252 | blackjack: **733** ; srd: **3883** ; bnb: **3114** |
| bustabit-2019-2020-short.csv | 403.46217608 | 1944.21893617 | 3827 | 15665 | 16480 | 7835 | 0 | 4641 | bnb: **3193** ; srd: **1** ; Total: **3194** | 0.00010733 | 9.99263885 | 0.224755582950 | 0.519006594923 | 0.68941569 | 0.0000879917919592 | -0.00260236000 | 0.68681333000 | 1 | 82 | 2.10338225909 | 2.32221460468 | blackjack: **738** ; srd: **3904** ; bnb: **3193** |
| bustabit-2019-2020-short.csv | 396.66665977 | 1982.64154167 | 3776 | 15984 | 16902 | 8016 | 0 | 4693 | bnb: **3322** ; srd: **1** ; Total: **3323** | 0.00010733 | 9.99263885 | 0.223790213580 | 0.516592727164 | 0.70641597 | 0.0000881257447605 | -0.00256768000 | 0.70384829000 | 1 | 82 | 2.10853293413 | 2.35325596628 | blackjack: **743** ; srd: **3951** ; bnb: **3322** |
| bustabit-2019-2020-short.csv | 406.13759811 | 2019.28151020 | 3795 | 16310 | 17292 | 8190 | 0 | 4776 | bnb: **3413** ; srd: **1** ; Total: **3414** | 0.00010733 | 9.99263885 | 0.221603535879 | 0.512842205812 | 0.71737541 | 0.0000875916251526 | -0.00258060000 | 0.71479481000 | 1 | 82 | 2.11135531136 | 2.33918459804 | blackjack: **759** ; srd: **4018** ; bnb: **3413** |
| bustabit-2019-2020-short.csv | 408.76821658 | 2055.04088000 | 3826 | 16599 | 17649 | 8401 | 0 | 4875 | bnb: **3525** ; srd: **1** ; Total: **3526** | 0.00010733 | 9.99263885 | 0.219371476021 | 0.508527891806 | 0.74065945 | 0.0000881632484228 | -0.00260168000 | 0.73805777000 | 1 | 82 | 2.10082133079 | 2.32183231042 | blackjack: **767** ; srd: **4109** ; bnb: **3525** |
| bustabit-2019-2020-short.csv | 413.73559161 | 2090.83690196 | 3919 | 16961 | 17964 | 8539 | 0 | 4921 | bnb: **3617** ; srd: **1** ; Total: **3618** | 0.00010733 | 9.99263885 | 0.218496815779 | 0.507061785321 | 0.75291490 | 0.0000881736620213 | -0.00266492000 | 0.75024998000 | 1 | 82 | 2.10375922239 | 2.31917034828 | blackjack: **774** ; srd: **4148** ; bnb: **3617** |
| bustabit-2019-2020-short.csv | 418.34490536 | 2127.34738462 | 4017 | 17344 | 18298 | 8656 | 0 | 4970 | bnb: **3685** ; srd: **1** ; Total: **3686** | 0.00010733 | 9.99263885 | 0.217613670193 | 0.504997934384 | 0.76232567 | 0.0000880690469039 | -0.00273156000 | 0.75959411000 | 1 | 82 | 2.11390942699 | 2.34730533228 | blackjack: **776** ; srd: **4195** ; bnb: **3685** |
| bustabit-2019-2020-short.csv | 394.37274097 | 2163.79275472 | 3962 | 17697 | 18753 | 8803 | 0 | 5017 | bnb: **3785** ; srd: **1** ; Total: **3786** | 0.00010733 | 9.99263885 | 0.216658616663 | 0.503086132325 | 0.77710597 | 0.0000882774020220 | -0.00269416000 | 0.77441181000 | 1 | 82 | 2.13029648983 | 2.45980063604 | blackjack: **786** ; srd: **4232** ; bnb: **3785** |
| bustabit-2019-2020-short.csv | 401.14569994 | 2198.20944444 | 4129 | 18088 | 19018 | 8912 | 0 | 5058 | bnb: **3853** ; srd: **1** ; Total: **3854** | 0.00010733 | 9.99263885 | 0.216160687034 | 0.501656211799 | 0.78477748 | 0.0000880585143627 | -0.00280772000 | 0.78196976000 | 1 | 82 | 2.13397666068 | 2.46082610480 | blackjack: **794** ; srd: **4265** ; bnb: **3853** |
| bustabit-2019-2020-short.csv | 407.27673931 | 2233.81970909 | 4134 | 18443 | 19405 | 9057 | 0 | 5095 | bnb: **3961** ; srd: **1** ; Total: **3962** | 0.00010733 | 9.99263885 | 0.215447367998 | 0.500248140503 | 0.79382596 | 0.0000876477818262 | -0.00281112000 | 0.79101484000 | 1 | 82 | 2.14254168047 | 2.51099566647 | blackjack: **799** ; srd: **4297** ; bnb: **3961** |
